ID,Period,Match clock,Video time (s),Action,Team,Player,Second player,Successful,X (m),Y (m),End X (m),End Y (m),Norm X,Norm Y,Norm end X,Norm end Y,Goal X (m),Goal Y (m),Miss,On target,Pass outcome,xG,xT
166e4928-d0fe-4957-ad4c-0235d99f2e69,2nd half,28:48,1728.01,Pass,Team Matto,Mateusz,,1,21.9,52.23,21.19,34.78,21.9,52.23,21.19,34.78,,,,,,,0.001
cef30337-89e7-4637-a4a9-82360355b4fb,2nd half,28:50,1730.17,Pass,Team Matto,Dawid,Wojtek,0,21.49,33.87,60.66,44.88,21.49,33.87,60.66,44.88,,,,,intercepted,,
302f58e6-452e-453e-8db3-0d458af62845,2nd half,28:53,1733.05,Pass,Team Sempu,Wojtek,Mateusz,0,60.66,44.48,37.4,51.41,44.34,23.52,67.6,16.59,,,,,intercepted,,
5c62f0d6-de39-46c9-847e-d22d9f17e365,2nd half,28:55,1735.47,Pass,Team Matto,Mateusz,Sempu,0,37.81,51.41,41.48,44.88,37.81,51.41,41.48,44.88,,,,,intercepted,,
9949a2fc-fe5f-45ab-b60c-94d59f99930f,2nd half,28:57,1737.47,Pass,Team Matto,Mateusz,Roszkol,0,45.56,48.96,54.13,39.99,45.56,48.96,54.13,39.99,,,,,intercepted,,
e936d589-5545-4e03-8591-476258c6633c,2nd half,29:01,1741.61,Dribble,Team Sempu,Roszkol,Michał W,1,52.91,35.5,,,52.09,32.5,,,,,,,,,
2bb5bc90-a4e6-4e35-909a-86fdea951322,2nd half,29:03,1743.73,Pass,Team Sempu,Roszkol,,1,52.91,28.97,64.74,31.83,52.09,39.03,40.26,36.17,,,,,,,-0.002
c3f397cb-8f8d-420e-939b-05ed1d42bb0c,2nd half,29:07,1747.43,Pass,Team Sempu,Matto,,1,64.74,24.89,34.55,23.66,40.26,43.11,70.45,44.34,,,,,,,0.011
d9a5cb49-5f45-4654-aea4-f936d32ef720,2nd half,29:11,1751.5,Pass,Team Sempu,Krzysiek,,1,41.89,20.81,36.99,26.52,63.11,47.19,68.01,41.48,,,,,,,0.001
006edf39-0231-4058-883d-2c10216ce0d7,2nd half,29:13,1753.92,Key pass,Team Sempu,Roszkol,,0,33.32,26.93,14.14,22.44,71.68,41.07,90.86,45.56,,,,,out,,
d36a1eba-8322-499e-8517-86607b8b32b6,2nd half,29:14,1754.69,Offside,Team Sempu,Janek,,1,16.59,21.62,,,88.41,46.38,,,,,,,,,
0a6c7d05-af43-453e-b8b0-1e4191418e9f,2nd half,29:29,1769.02,Pass,Team Matto,Tomek E,,1,5.57,26.11,12.1,1.22,5.57,26.11,12.1,1.22,,,,,,,-0.002
c4ef963b-f532-4195-8364-1537992b834b,2nd half,29:36,1776.85,Pass,Team Matto,Filip,,1,29.24,7.75,45.15,16.73,29.24,7.75,45.15,16.73,,,,,,,0.004
9a7929f7-1667-44aa-85af-2e70794e8cc5,2nd half,29:38,1778.94,Ground duel,Team Matto,Krzysiek K,Matto,0,55.76,18.77,,,55.76,18.77,,,,,,,,,
7ee9fe35-bfb9-461c-afe8-a4ea7041812d,2nd half,29:44,1784.48,Pass,Team Sempu,Matto,,1,26.79,19.18,10.88,14.28,78.21,48.82,94.12,53.72,,,,,,,0.017
810f6d32-c95c-42fc-b34c-d8b9256553e0,2nd half,29:48,1788.27,Shot,Team Sempu,Bartek,,0,6.8,13.87,,,98.2,54.13,,,7.06,0.49,,1,,0.051,
79697be6-5e5e-4bda-850e-e25722398c24,2nd half,29:49,1789.94,Save,Team Matto,Tomek E,,1,1.49,30.19,,,1.49,30.19,,,,,,,,,
